lp     woj                       "Dochody na 1 mieszkańca" "Wydatki na 1 mieszkańca"
1	 warmińsko-mazurskie	 612,18          637,94
2	 lubuskie	         586,25          578,09
3	 dolnośląskie	         558,71          565,75
4	 podkarpackie 	         536,58          545,61
5	 świętokrzyskie	         503,50          522,48
6	 podlaskie	         478,75          482,42
7	 opolskie	         469,06          481,28
8	 lubelskie	         462,85          468,86
9	 zachodniopomorskie	 460,75          440,07
10	 mazowieckie	         407,87          412,94
11	 pomorskie	         368,82          400,11
12	 kujawsko-pomorskie	 360,92          370,25
13	 śląskie 	         345,79          362,34 
14	 wielkopolskie	         338,02          354,45
15	 małopolskie 	         330,12          329,87
16	 łódzkie	         298,44          299,21
