POWIATY                            POWIATS,Ludność stan                          w dniu 31 XII   Population as of December 31 ogółem          total,na 1 km2     per 1 km2,Małżeń-stwa  Marria-ges,Roz-wody Divorces,Urodzenia żywe        Live births,Zgony ogółem   Total deaths,Przyrost naturalny  Natural increase,Ogólne saldo migracji Total net migration,Przyrost roczny Annual growth,Zgony niemowląt na 1000 urodzeń żywych Infant deaths per 1000 live births
         bolesławiecki ,90306,69,4.9,2.0,8.6,9.2,-0.6,-1.3,-1.3,1.3
         dzierżoniowski ,104613,219,4.3,1.9,7.9,12.3,-4.4,-2.8,-6.4,1.2
         głogowski ,90302,204,5.1,2.2,9.2,8.3,0.9,-2.5,-0.9,6.0
         górowski ,36391,49,5.3,1.8,9.3,10.1,-0.7,-5.1,-6.4,2.9
         jaworski ,52070,90,4.8,1.6,8.0,10.8,-2.8,-2.5,-5.5,4.8
         jeleniogórski ,65171,104,3.9,2.0,7.1,11.5,-4.4,2.8,0.6,2.2
         kamiennogórski ,45039,114,4.4,1.9,7.0,12.0,-5.0,-5.3,-9.8,6.3
         kłodzki ,164680,100,4.5,1.9,7.6,12.0,-4.4,-3.4,-7.6,4.0
         legnicki ,54869,74,4.8,1.3,8.7,11.2,-2.5,3.0,0.8,2.1
         lubański ,56117,131,4.4,2.0,7.9,11.6,-3.7,-3.7,-6.8,2.2
         lubiński ,106512,150,5.1,1.9,9.4,9.1,0.3,-3.4,-2.9,7.0
         lwówecki ,47317,67,4.8,1.9,8.2,11.9,-3.7,-4.0,-7.2,7.7
         milicki ,37320,52,4.7,1.8,10.1,9.2,0.9,-1.7,-3.9,5.3
         oleśnicki ,106088,101,4.7,2.1,9.7,9.5,0.3,0.7,1.3,10.6
         oławski ,75793,145,4.4,2.0,9.3,8.3,1.0,2.9,3.5,4.2
         polkowicki ,63240,81,5.2,1.8,10.6,8.4,2.2,-2.6,0.9,1.5
         strzeliński ,44393,71,4.4,1.8,8.7,11.0,-2.3,-1.8,-3.5,0.0
         średzki ,52445,74,4.1,1.8,9.4,9.3,0.1,6.1,6.5,6.1
         świdnicki ,160932,217,4.5,2.4,8.8,10.6,-1.8,-2.6,-5.0,10.5
         trzebnicki ,83041,81,4.2,2.0,9.5,9.3,0.2,5.6,5.9,5.1
         wałbrzyski ,57834,134,4.0,1.6,7.1,12.1,-5.0,-4.3,-10.3,2.4
         wołowski ,47569,70,4.9,1.8,9.9,10.7,-0.8,-2.7,-2.9,8.4
         wrocławski ,127896,114,4.2,1.8,10.7,7.3,3.4,23.2,27.2,2.2
         ząbkowicki ,67875,85,4.2,1.2,8.1,12.1,-4.0,-3.8,-6.7,5.5
         zgorzelecki ,93158,111,4.5,2.1,8.2,10.7,-2.5,-5.0,-6.9,2.6
         złotoryjski ,45056,78,4.6,1.5,8.5,10.8,-2.3,-5.0,-8.3,10.4
         M. Jelenia Góra ,81985,751,3.9,2.3,7.8,12.3,-4.5,-4.3,-10.4,9.4
         M. Legnica ,101992,1812,4.4,2.1,8.5,10.8,-2.3,-2.9,-4.2,3.5
         M. Wrocław ,632067,2159,4.2,2.4,9.6,10.3,-0.7,2.2,1.4,5.6
         M. Wałbrzych ,117926,1392,3.7,2.2,7.3,13.5,-6.1,-4.0,-10.4,3.4
         aleksandrowski ,55919,118,3.7,2.1,9.2,10.7,-1.5,-0.7,-2.1,3.9
         brodnicki ,78102,75,5.3,1.5,11.0,8.9,2.1,-1.0,1.3,4.7
         bydgoski ,110565,79,4.3,2.1,9.5,7.8,1.6,10.6,11.1,3.8
         chełmiński ,52610,100,4.8,1.5,9.7,9.6,0.1,-2.8,-2.7,5.9
         golubsko-dobrzyński ,45480,74,5.0,1.5,10.7,9.6,1.0,-0.8,0.7,4.1
         grudziądzki ,40135,55,5.3,1.2,10.1,8.6,1.5,-3.9,-2.1,4.9
         inowrocławski ,163682,134,4.6,2.0,8.6,9.9,-1.3,-2.7,-4.4,3.5
         lipnowski ,67231,66,4.9,1.9,10.2,10.1,0.0,-3.5,-3.6,1.5
         mogileński ,46590,69,5.2,1.4,8.9,10.3,-1.4,-3.1,-5.7,2.4
         nakielski ,86969,78,5.1,1.8,11.1,8.7,2.4,-2.2,1.5,8.3
         radziejowski ,41646,69,5.5,1.5,9.4,10.2,-0.8,-3.2,-6.2,7.6
         rypiński ,44723,76,4.3,2.0,10.7,10.6,0.1,-3.2,-2.0,6.3
         sępoleński ,41636,53,5.1,2.0,10.9,9.4,1.5,-2.9,-1.3,4.4
         świecki ,99839,68,4.5,1.7,10.3,9.1,1.2,-1.1,-1.1,5.8
         toruński ,100972,82,5.0,1.8,10.8,8.1,2.7,9.8,10.8,4.6
         tucholski ,48283,45,5.6,1.2,10.5,9.2,1.3,-1.9,-0.9,5.9
         wąbrzeski ,35034,70,5.7,1.8,9.8,10.7,-0.8,-5.0,-5.5,2.9
         włocławski ,86920,59,4.7,1.8,8.6,10.8,-2.2,-1.1,-3.2,5.4
         żniński ,70792,72,5.0,1.6,10.0,9.8,0.3,-2.7,-2.3,1.4
         M. Bydgoszcz ,359428,2042,4.3,2.1,8.8,10.5,-1.7,-2.7,-5.1,6.3
         M. Grudziądz ,97676,1691,4.8,2.5,9.0,11.3,-2.3,-2.0,-3.0,2.3
         M. Toruń ,203447,1758,4.3,2.4,9.0,9.3,-0.3,-3.4,-4.2,2.2
         M. Włocławek ,114885,1362,4.5,3.4,8.1,10.9,-2.8,-3.4,-5.7,2.2
         bialski ,113336,41,5.0,1.4,10.1,12.1,-2.0,-3.1,-3.0,4.4
         biłgorajski ,103366,61,4.9,1.1,8.6,10.0,-1.4,-2.3,-2.0,2.3
         chełmski ,79573,42,4.5,1.5,9.7,12.3,-2.6,-2.0,-2.7,3.9
